BIBLIOGRAFÍA,AUTOR,TÍTULO,FECHA,CRITERIO,BLOQUE,MEDIO,SOPORTE,TEMA,PAÍS,ZONA,TIPOLOGÍA,NOTAS,CONCORDANCIA
"«Continuará la recuperación». Clarín. Buenos Aires: clarín.com, 1997-01-08.",,Clarín,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Argentina,Río de la Plata,,Versión realizada sobre texto marcado HTML,"Las fuerzas que lo impulsarán en condiciones normales deberán ser las exportaciones y la inversión. En el primer caso, por cuanto el sector externo sigue siendo muy vulnerable, en particular en la relación deuda-exportaciones. Crecer ha implicado, históricamente, un aumento más que proporcional de las importaciones, lo que requiere para su sostenibilidad un aumento más que proporcional de las exportaciones. Si esto no ocurre, la debilidad externa aborta rápidamente el incremento de la actividad económica."
"«Los instrumentos financieros al servicio del medio ambiente». Marcilla López, Alberto: Estudios jurídicos. Madrid: Dilex, 1997.","Marcilla López, Alberto",Estudios jurídicos,1997,Primera edición,No ficción,Escrito,Libro,"Política, economía y justicia",España,,,,"En el art. 2 TCE ""...un crecimiento sostenible y no infraccionista que respete el medio ambiente..."". Estas referencias a la ""sostenibilidad"" remite al concepto ""desarrollo sostenible"", que intenta reconciliar los conceptos que discurrían separados del medio ambiente y desarrollo. Este concepto fue explícitamente aceptado en la cumbre de Dublín de junio de 1.990 de jefes de Estado y de Gobierno."
"«&ndash; La impartición de cursos en cuatro provincias permitirá la producción sostenible de conservas &ndash; Pronostican éxito a hortalizas y frutas cubanas, ciento por ciento ecológicas». Granma Internacional. La Habana: Ediciones Cubanas, 1997-08-03.",,Granma Internacional,1997,Primera edición,No ficción,Escrito,Prensa,Ciencias y tecnología,Cuba,Antillas,,"Versión realizada sobre texto marcado HTML. Edición internacional, periodicidad semanal","Crear la capacidad técnica para llevar a cabo procesos productivos de beneficio comunitario y con sostenibilidad fue el objetivo primordial de ese esfuerzo, en que tomaron parte alumnos enviados por los gobiernos provinciales, el Ministerio de Salud Pública, la Federación de Mujeres Cubanas, la Asociación Nacional de Agricultores Pequeños, y por supuesto, el Ministerio de la Agricultura, mediante la entidad contraparte, la Unión Nacional de Acopio."
"«&ndash; La impartición de cursos en cuatro provincias permitirá la producción sostenible de conservas &ndash; Pronostican éxito a hortalizas y frutas cubanas, ciento por ciento ecológicas». Granma Internacional. La Habana: Ediciones Cubanas, 1997-08-03.",,Granma Internacional,1997,Primera edición,No ficción,Escrito,Prensa,Ciencias y tecnología,Cuba,Antillas,,"Versión realizada sobre texto marcado HTML. Edición internacional, periodicidad semanal","Al comparar a Cuba con otros países en los que impartió clases, Figuerola opinó que la Isla destaca por su organización, y reclamó un decidido apoyo de los organismos cubanos involucrados ""para convertir estos cursos en un mecanismo de fomento real, y que existan la autonomía y la autogestión suficientes, capaces de garantizar la sostenibilidad del Proyecto, cuyo seguimiento estará a cargo de la FAO local""."
"«Gobierno fija rumbo final». La Nación. San José: nacion.co.cr, 1997-01-07.",,La Nación,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Costa Rica,México y Centroamérica,,Versión realizada sobre texto marcado HTML. No se acentúan nunca las mayúsculas.,"Durante el primer año, el Poder Ejecutivo decidió dar prioridad a los ámbitos de desarrollo social, sostenibilidad, integración mundial, democracia participativa y transformación institucional."
"«Sugieren turismo especializado». La Nación. San José: nacion.co.cr, 1997-02-13.",,La Nación,1997,Primera edición,No ficción,Escrito,Prensa,"Actualidad, ocio y vida cotidiana",Costa Rica,México y Centroamérica,,Versión realizada sobre texto marcado HTML. No se acentúan nunca las mayúsculas.,"Según Melchor Marcos, de la dirección de Planificación del Instituto Costarricense de Turismo (ICT), además del estudio se invirtieron $40.000 en el Programa de Certificación de Sostenibilidad Turística."
"«CEPAL recomienda que la privatización apoye al fisco y a la política monetaria». Prensa Libre. Guatemala: prensalibre.com, 1997-01-22.",,Prensa Libre,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Guatemala,México y Centroamérica,,Versión realizada sobre texto marcado HTML,"contar con financiamiento extenso e interno, Rosenthal apunta que desde la perspectiva macroeconómica, dos temas merecen especial atención: la política económica dirigida a que los ingresos de capital contribuyan al crecimiento con estabilidad, y la política fiscal requerida para fortalecer la capacidad del Estado de generar sus propios recursos, y así darle sostenibilidad al proceso de modernización."
"«Descartan proyecto de TVF en la política monetaria para 1997». Prensa Libre. Guatemala: prensalibre.com, 1997-03-14.",,Prensa Libre,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Guatemala,México y Centroamérica,,Versión realizada sobre texto marcado HTML,"El que se haya avanzado en el programa de desincorporación permite prever que se resolverá, en el corto plazo, el problema monetario estructural, que había generado al país costos importantes en materia de tasas de interés más elevadas y que en este momento su solución implica la sostenibilidad en una reducción en los réditos, sin poner en peligro la estabilidad que el país ha alcanzado en los últimos años, insistió."
"«Descartan proyecto de TVF en la política monetaria para 1997». Prensa Libre. Guatemala: prensalibre.com, 1997-03-14.",,Prensa Libre,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Guatemala,México y Centroamérica,,Versión realizada sobre texto marcado HTML,"Según destacó el presidente del Banco Central, un elemento importante dentro de la nueva política monetaria, que contribuirá a dar sostenibilidad a la reducción de las tasas de interés es la autorización al BANGUAT para utilizar instrumentos de estabilización expresados en dólares de Estados Unidos, lo que se hará a través de la emisión de Certificados de Depósito a Plazos, CDP."
"«WILFREDO POLANCO». Listín Diario. Santo Domingo: listin.com.do, 1997.",,Listín Diario,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",República Dominicana,Antillas,,Versión realizada sobre texto marcado HTML. No se acentúan nunca las mayúsculas.,"El Programa Nacional de Investigación en Manejo Integrado de Cultivos (PRONIMIC) de está compuesto, de acuerdo a un informe ejecutivo de Agricultura, de biotecnología y recursos fitogenéticos y en el corto y mediano plazos serán integrados otros de importancia para la sostenibilidad de los sistemas de producción como manejo integrado de plagas, de suelos y agua y de la agricultura orgánica. Explica que el mismo tiene como propósito servir de apoyo a los demás programas nacionales de investigación, a través del manejo genético de géneros y especies vegetales, que posean características interesantes de calidad, resistencia a plagas y"
"«JOSÉ JAVIER». Listín Diario. Santo Domingo: listin.com.do, 1997.",,Listín Diario,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",República Dominicana,Antillas,,Versión realizada sobre texto marcado HTML. No se acentúan nunca las mayúsculas.,"criticar esos cambios, las interrupciones y penurias resultantes, y lo que algunos llaman la agenda neoliberal subyacente, pero el problema continúa y se empeora hasta que no empecemos a actuar. Hrinak entiende que erradicar la pobreza involucra claramente la interacción de una serie de factores que incluye políticas macroeconómicas, desarrollo del sector privado, sostenibilidad del medio ambiente, y la inversión en capitales humanos, es decir, educación para los niños y entrenamiento contínuo para los trabajadores. Sostuvo que sin el fundamento social sólido que provee la educación, es difícil que el desarrollo económico sea exitoso, y es virtualmente imposible que sea sostenible. Citó que con regularidad las compañías"
"«LA PAZ, 31 (LOS TIEMPOS)». Los Tiempos. Cochabamba: lostiempos.com, 1997-04-01.",,Los Tiempos,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Bolivia,Andina,,Versión realizada sobre texto marcado HTML. Mayúsculas sin acentuar,"Dicha estrategia esta basada en cinco pilares: Apertura dinámica comercial, desarrollo tecnológico y sostenibilidad ambiental, modernización industrial, desarrollo de la pequeña empresa y desarrollo del capital humano."
"«LA PAZ, 31 (LOS TIEMPOS)». Los Tiempos. Cochabamba: lostiempos.com, 1997-04-01.",,Los Tiempos,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Bolivia,Andina,,Versión realizada sobre texto marcado HTML. Mayúsculas sin acentuar,"El desarrollo tecnológico y sostenibilidad ambiental busca incentivar la investigación y desarrollo al servicio de la industria, y la gestión de la preservación ambiental."
"«Nuestro país hoy rinde examen ante Grupo Consultivo de París». Los Tiempos. Cochabamba: lostiempos.com, 1997-04-10.",,Los Tiempos,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Bolivia,Andina,,Versión realizada sobre texto marcado HTML,"El objetivo de este encuentro es dar a conocer a la comunidad internacional los avances logrados en las reformas estructurales implementadas en el país durante la actual gestión gubernamental, así como la situación y perspectivas de la deuda externa y su sostenibilidad en el futuro."
"«Por PIERRE BELEC». El Nuevo Herald. Miami: elherald.com, 1997-03-02.",,El Nuevo Herald,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Estados Unidos,Estados Unidos,,Versión realizada sobre texto marcado HTML. Mayúsculas sin acentuar,"Estas ganancias obviamente han generado preguntas sobre su sostenibilidad, agregó."
"«ODÓN ELORZA». El País. Madrid: Diario El País, S.A., 1997-04-16.",,El País,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",España,,,Versión realizada sobre texto marcado HTML,"la competitividad más brutal, refleja situaciones de injusticia social, de segregación de la población y de marginación de zonas o barrios que quedan al margen del proceso de desarrollo económico del territorio. Ante estos fenómenos es preciso buscar la cohesión social, articular la ciudad como un todo, promoviendo la polivalencia y la sostenibilidad urbanística de cada barrio, dotándole de un proyecto estratégico consensuado con todas las fuerzas socioeconómicas que forman la columna vertebral de una ciudad."
"«ROBERTO CENTENO». El País. Madrid: Diario El País, S.A., 1997-05-08.",,El País,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",España,,,Versión realizada sobre texto marcado HTML,"En la práctica, hay bastantes posibilidades de entrar (a no ser que se produzca un endurecimiento de criterios y particularmente sobre su sostenibilidad), ya que de momento el criterio de deuda no cuenta; el de inflación, apoyado por el efecto moderador de precios de la globalización, es probable que se cumpla, y este año al menos, el de déficit público, aunque el primer trimestre no ha sido alentador, podría cumplirse recortando gastos y"
"«CARLES PASTOR». El País. Madrid: Diario El País, S.A., 1997-05-30.",,El País,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",España,,,Versión realizada sobre texto marcado HTML. Mayúsculas acentuadas,"los problemas puntuales. Ese compromiso, dijo aquel día Pujol, «según como se mire termina el primero de enero o el primero de mayo (de 1998), o según como se mire continúa (...) durante mucho tiempo» porque después de la entrada en la Unión Monetaria «viene aquello que se llama sostenibilidad»."
"«LUIS ATIENZA SERNA». El País. Madrid: Diario El País, S.A., 1997-11-01.",,El País,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",España,,,Versión realizada sobre texto marcado HTML,"atribuirse las fases expansivas del ciclo como méritos propios y diluir la responsabilidad o adjudicársela a la coyuntura internacional en las fases de recesión. Nada nuevo bajo el sol. El problema es que detrás de esos buenos datos hay unas decisiones de política económica, o una ausencia de éstas, cuya idoneidad y sostenibilidad para afrontar los retos de la Unión Monetaria son muy discutibles."
"«LUIS ATIENZA SERNA». El País. Madrid: Diario El País, S.A., 1997-11-01.",,El País,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",España,,,Versión realizada sobre texto marcado HTML,"lado, el agotamiento del efecto antiinflacionista de los precios alimenticios por las buenas cosechas, el incremento de la inflación importada y, sobre todo, la fuerte recuperación de la demanda interna van a poner a prueba, en ausencia de medidas estructurales de flexibilización de nuestra economía y con un presupuesto muy poco riguroso, la sostenibilidad de nuestros excelentes datos de inflación que el Gobierno parece querer acortar, que huye como gato escaldado de toda decisión que tenga un coste político, para ganar tiempo, o, mejor dicho, perderlo, hasta las próximas elecciones. Pasará algún tiempo para darnos cuenta de que lo que hoy parece una línea de"
"«LAUREANO PINEDA L.». La Prensa. Managua: La Prensa, 1997.",,La Prensa,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Nicaragua,México y Centroamérica,,Versión realizada sobre texto marcado HTML. No se acentúan nunca las mayúsculas.,"Independiente de la sostenibilidad de la fertilidad del suelo, la fertilización en cualquier cultivo requiere criterios mínimos para elaborar una recomendación viable sobre el aspecto nutricional de un cultivo."
"«LAUREANO PINEDA L.». La Prensa. Managua: La Prensa, 1997.",,La Prensa,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Nicaragua,México y Centroamérica,,Versión realizada sobre texto marcado HTML. No se acentúan nunca las mayúsculas.,"nutrientes por análisis químico de suelos, aplicar la fórmula fertilizante recomendada, si no se toman en consideración los conceptos básicos para un manejo más eficiente en función de la producción, con el firme criterio de que desde el punto de vista económico, el problema decisivo no es producir cosechas máximas, sino cómo producir más con sostenibilidad y ventajosamente."
"«COMENZARON LAS NEGOCIACIONES COMERCIALES CON CENTROAMÉRICA». Rumbo. Santo Domingo: Doble AA, 1997-09-29.",,Rumbo,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",República Dominicana,Antillas,,Versión realizada sobre texto marcado HTML. Mayúsculas no acentuadas en el original,"Asimismo, se negociará el mecanismo de vinculación de la República Dominicana con la Alianza Centroamericana para el Desarrollo Sostenible (ALIDES). Los centroamericanos, bajo el liderazgo de Costa Rica, están tomando muy en serio la cuestión de la sostenibilidad del medio ambiente y los compromisos en materia de desarrollo social y humano."
"«Colombia, no tan mal en pobreza». El Tiempo. Bogotá: ELTIEMPO.com, 1997-06-12.",,El Tiempo,1997,Primera edición,No ficción,Escrito,Prensa,"Política, economía y justicia",Colombia,Caribe continental,,Versión realizada sobre texto marcado HTML. Mayúsculas no acentuadas en el original,"Esta lista, que encabeza Canadá y cierra Sierra Leona, es una sinopsis en la que se valoran aspectos de supervivencia, educación, seguridad personal, sostenibilidad e ingresos por habitante."
"«Europa en busca de su agricultura». Época. Madrid: Difusora de Información Periódica S.A., 1998.",,Época,1998,Primera edición,No ficción,Escrito,Prensa,Ciencias y tecnología,España,,,Versión realizada sobre texto marcado HTML. No se acentúan las mayúsculas.,"acción política, después, que tiene que llevar a mínimos de ayuda directa como pagos compensatorios de precios, pero que no pone límite a una nueva forma de ayuda rural, de apoyo al mantenimiento de la biodiversidad, los paisajes locales propios, el arbolado, la forestación, los bosques caducifolios o mediterráneos, la sostenibilidad, etc."". O sea que la agricultura se debería convertir, según esta Declaración de Cork, casi únicamente en un mero complemento en favor de lo que los ciudadanos europeos manifiestan desear, al prestar —resume el profesor Lamo de Espinosa— ""cada vez mayor atención a su calidad de vida en general y a su ocio"
"«Este día, la CASALCO anunciará la creación de la fundación ecológica ConstruAmbiente, que impulsará proyectos en pro del ecosistema». El Salvador Hoy. San Salvador: elsalvador.com, 1998.",,El Salvador Hoy,1998,Primera edición,No ficción,Escrito,Prensa,Ciencias y tecnología,El Salvador,México y Centroamérica,,Versión realizada sobre texto marcado HTML. Se han suprimido fragmentos de texto debido a problemas en la transferencia de archivos provenientes de Internet. Se acentúan ocasionalmente las mayúsculas,"ConstruAmbiente colaborará además en el ordenamiento territorial, en el fomento de un pensamiento científico en cuanto a la sostenibilidad de los recursos naturales y a desarrollar un sistema de compensaciones ambientales."
"99206024. Página web 1999. s.l.: s.n., 1999.",,99206024. Página web 1999,1999,Fecha de adquisición,No ficción,Escrito,Miscelánea,"Política, economía y justicia",España,,,,"Además de contribuir al crecimiento, las TICs contribuyen a la estabilidad y, por tanto sostenibilidad de ese crecimiento. En la medida en que los crecimientos de demanda de productos y servicios relacionados con las TICs permite reducir sus costes de producción, se genera un círculo virtuoso que tiende a aumentar el peso de este sector en la economía y a prolongar el crecimiento general sin tensiones inflacionistas. En este sentido, las"
"00206011. Página web 2000. s.l.: s.n., 2000.",,00206011. Página web 2000,2000,Fecha de adquisición,No ficción,Escrito,Miscelánea,"Política, economía y justicia",España,,,,"La negociación de acuerdos debe estar presidida por las exigencias derivadas de los conceptos de racionalidad, responsabilidad y sostenibilidad de los recursos."
"00206011. Página web 2000. s.l.: s.n., 2000.",,00206011. Página web 2000,2000,Fecha de adquisición,No ficción,Escrito,Miscelánea,"Política, economía y justicia",España,,,,"La negociación de acuerdos debe estar presidida por las exigencias derivadas de los conceptos de racionalidad, responsabilidad y sostenibilidad de los recursos."
"00206011. Página web 2000. s.l.: s.n., 2000.",,00206011. Página web 2000,2000,Fecha de adquisición,No ficción,Escrito,Miscelánea,"Política, economía y justicia",España,,,,"l nivel del mar y la modificación de las condiciones del equilibrio territorial, la puesta en marcha de políticas mundiales de desarrollo sostenible a partir de la Conferencia de Río de Janeiro ha tenido en el Mediterráneo una importante repercusión a través de una serie de iniciativas internacionales destinadas a crear un consenso cada vez más amplio sobre los temas relacionados con la sostenibilidad y la prevención o la protección medioambiental;"
"00206011. Página web 2000. s.l.: s.n., 2000.",,00206011. Página web 2000,2000,Fecha de adquisición,No ficción,Escrito,Miscelánea,"Política, economía y justicia",España,,,,"– realizar el acompañamiento de los países del Sur candidatos a formar parte de la zona de libre comercio, a fin de permitirles alcanzar sus objetivos en materia de sostenibilidad que se aplican en la Unión Europea (certificación de calidad, evaluación del impacto ambiental, etc.), otorgando a dichos países medios adicionales;"
"00206011. Página web 2000. s.l.: s.n., 2000.",,00206011. Página web 2000,2000,Fecha de adquisición,No ficción,Escrito,Miscelánea,"Política, economía y justicia",España,,,,"La negociación de acuerdos debe estar presidida por las exigencias derivadas de los conceptos de racionalidad, responsabilidad y sostenibilidad de los recursos."
"Calle Collado, Ángel: Ciudadanía y solidaridad. Las ONG de Solidaridad Internacional como Movimiento Social. Madrid: Iepala, 2000.","Calle Collado, Ángel",Ciudadanía y solidaridad. Las ONG de Solidaridad Internacional como Movimiento Social,2000,Primera edición,No ficción,Escrito,Libro,"Política, economía y justicia",España,,,,"especial de mujeres, de pueblos indígenas, de ""educación popular"", de vecinos y pobladores y de algunas ONGs vinculadas con dichos colectivos...— se está avanzando hacia la conquista de una ciudadanía más plena y consistente desde donde se ganen espacios y formas de ""empoderamiento"" civil, ético y social con proyección y sostenibilidad futuras; Aún el movimiento no es suficientemente fuerte, si bien ya han comenzado a ser reprimidos y ""descalificados"" por algunas cúpulas del poder de las democracias nuevas que —¡pesadas herencias pasadas!— aún no se han creído que la única manera de consolidarse como democracias está en que crezcan y se fortalezcan"
"Calle Collado, Ángel: Ciudadanía y solidaridad. Las ONG de Solidaridad Internacional como Movimiento Social. Madrid: Iepala, 2000.","Calle Collado, Ángel",Ciudadanía y solidaridad. Las ONG de Solidaridad Internacional como Movimiento Social,2000,Primera edición,No ficción,Escrito,Libro,"Política, economía y justicia",España,,,,"entre sí fuesen convivibles porque todas se respetarían como valiosas y tolerantes; más aún como necesarias, al menos cada una para el grupo particular que la asumiese y encarnase. En ese horizonte se proyecta el futuro positivo de la humanidad en proceso de reconciliación consigo misma y con la Naturaleza, en afirmación de una sostenibilidad creadora."
"Calle Collado, Ángel: Ciudadanía y solidaridad. Las ONG de Solidaridad Internacional como Movimiento Social. Madrid: Iepala, 2000.","Calle Collado, Ángel",Ciudadanía y solidaridad. Las ONG de Solidaridad Internacional como Movimiento Social,2000,Primera edición,No ficción,Escrito,Libro,"Política, economía y justicia",España,,,,"icónicas para ganar imagen y, con ella, recursos en las sociedades del norte donante. Poder asegurar que se da, de hecho y con garantías, la Solidaridad Internacional es, también, un problema de medición de resultados en el plazo medio y largo, es decir es uno de los ejes de medición de la sostenibilidad."
